id,brand_id,name,series_id,socket_id,number_of_cores,number_of_threads,memory_type_id,max_memory_supported_gb,max_memory_speed_gb,operating_frequency_mhz,turbo_frequency_mhz,thermal_design_power_w,cooling_device_included,integrated_graphics_id,image_url
1,1,Core i7-11700K,1,1,8,16,2,128,3200,3.6,5,125,FALSE,1,1
2,1,Core i5-11400,2,1,6,12,2,128,3200,2.6,4.4,65,TRUE,2,2
3,1,Core i9-10900K,3,1,10,20,2,128,2933,3.7,5.3,125,FALSE,3,3
4,1,Core i5-11600K,2,1,6,12,2,128,3200,3.9,4.9,125,FALSE,1,4
5,1,Core i5-10600K,4,1,6,12,2,128,2666,4.1,4.8,125,FALSE,3,5
6,1,Core i5-11500,2,1,6,12,2,128,3200,2.7,4.6,65,TRUE,1,6
7,1,Core i7-10700K,5,1,8,16,2,128,2933,3.8,5.1,125,FALSE,3,7
8,1,Core i9-10850K,3,1,10,20,2,128,2933,3.6,5.2,125,FALSE,3,8
9,1,Core i7-11700,1,1,8,16,2,128,3200,2.5,4.9,65,TRUE,1,9
10,1,Core i9-10900,3,1,10,20,2,128,2933,2.8,5.2,65,TRUE,3,10
11,1,Core i7-9700K,6,3,8,8,2,128,2666,3.6,4.9,95,FALSE,3,11
12,1,Core i5-9600K,7,3,6,6,2,128,2666,3.7,4.6,95,FALSE,3,12
13,1,Core i7-10700F,5,1,8,16,2,128,2933,2.9,4.8,65,TRUE,,13
14,1,Core i7-10700KF,5,1,8,16,2,128,2933,3.8,5.1,125,FALSE,,14
15,1,Core i7-10700,5,1,8,16,2,128,2933,2.9,4.8,65,TRUE,3,15
16,1,Core i7-10700K,5,1,8,16,2,128,2933,3.8,5.1,125,FALSE,3,16
17,1,Core i5-10400,4,1,6,12,2,128,2666,2.9,4.3,65,TRUE,3,17
18,1,Core i5-9400F,7,3,6,6,2,128,2666,2.9,4.1,65,TRUE,,18
19,1,Core i3-10100,8,1,4,8,2,128,2666,3.6,4.3,65,TRUE,3,19
20,1,Core i9-10900KF,3,1,10,20,2,128,2933,3.7,5.3,125,FALSE,,20
21,1,Core i3-10100F,8,1,4,8,2,128,2666,3.6,4.3,65,TRUE,,21
22,1,Core i5-10400F,4,1,6,12,2,128,2666,2.9,4.3,65,TRUE,,22
23,1,Core i9-9900,9,3,8,16,2,128,2666,3.1,5,65,TRUE,3,23
24,1,Core i5-9600KF,7,3,6,6,2,128,2666,3.7,4.6,95,FALSE,,24
25,1,Core i7-9700F,6,3,8,8,2,128,2666,3,4.7,65,TRUE,,25
26,1,Core i7-3770K,10,2,4,8,1,32,1600,3.5,3.9,77,TRUE,4,26
27,1,Core i7-7700K,11,3,4,8,2,64,2400,4.2,4.5,91,FALSE,5,27
28,1,Core i5-6500,12,3,4,4,2,64,2133,3.2,3.6,65,TRUE,6,28
29,1,Core i5-6600,12,3,4,4,2,64,1600,3.3,3.9,65,TRUE,6,29
30,1,Core i3-9100,13,3,4,4,2,64,2400,3.6,4.2,65,TRUE,3,30
31,1,Core i5-10600,4,1,6,12,2,128,2666,3.3,4.8,65,TRUE,3,31
32,1,Core i3-10300,8,1,4,8,2,128,2666,3.7,4.4,65,TRUE,3,32
33,1,Core i7-7700,11,3,4,8,2,64,2400,3.6,4.2,65,TRUE,5,33
34,2,RYZEN 7 3700X,14,5,8,16,2,128,3200,3.6,4.4,65,TRUE,,34
35,2,Ryzen 7 5800X,15,5,8,16,2,128,3200,3.8,4.7,105,TRUE,,35
36,2,RYZEN 5 2600,16,5,6,12,2,64,2933,3.4,3.9,65,TRUE,,36
37,2,Ryzen 5 5600X,17,5,6,12,2,128,3200,3.7,4.6,65,TRUE,,37
38,2,Ryzen 9 3950X,18,5,16,32,2,128,3200,3.5,4.7,105,FALSE,,38
39,2,Ryzen Threadripper PRO 3955WX,19,6,16,32,2,128,3200,3.9,4.3,280,FALSE,,39
40,2,Ryzen Threadripper PRO 3975WX,19,6,32,64,2,2000,3200,3.5,4.2,280,FALSE,,40
41,2,RYZEN 5 3600,20,5,6,12,2,128,3200,3.6,4.2,280,TRUE,,41
42,2,RYZEN 5 3500X,20,5,6,6,2,128,3200,3.6,4.1,65,TRUE,,42
43,2,RYZEN 5 3600X,20,5,6,12,2,128,3200,3.8,4.4,95,TRUE,,43
