id,brand_id,series_id,drive_type_id,form_factor_id,model,capacity_gb,max_read_mb_s,max_write_mb_s,interface_id,image_url
1,18,1,1,1,WDS100T2B0A,1000,560,530,6,1
2,19,2,1,1,MZ-77E1T0B/AM,1000,560,530,6,2
3,20,3,1,1,CT1000BX500SSD1,1000,540,500,6,3
4,18,1,1,2,WDS100T2B0B,1000,560,530,6,4
5,20,4,1,1,CT200039SSD1,2000,560,510,6,5
6,21,5,1,4,S40S37/480G,480,500,450,6,6
7,22,6,1,1,T253X6001T0C101,1000,540,490,6,7
8,23,7,1,1,ZA1000CM1A003,1000,560,540,6,8
9,22,8,1,2,TM8PS7001T0C101,1000,530,480,6,9
10,19,2,1,1,MZ-77E500B/AM,500,560,530,6,10
11,21,5,1,1,S40S37/240G,240,500,350,6,11
12,18,1,1,1,WDS200T2B0A,2000,560,530,6,12
13,19,2,1,1,MZ-77E250B/AM,250,560,530,6,13
14,22,9,1,1,T253TG001T3C301,1000,550,500,6,14
15,18,1,2,3,WD10EZRZ,1000,125,116,6,15
