id,power_supply_id,power_connector_id,cable_count,connector_count
1,1,3,1,1
2,1,4,2,2
3,1,5,2,4
4,1,6,3,9
5,1,7,2,8
6,1,8,0,1
7,2,9,1,1
8,2,4,1,1
9,2,5,2,2
10,2,6,6,6
11,2,7,3,3
12,2,8,1,1
13,3,3,1,1
14,3,4,1,1
15,3,5,1,2
16,3,6,2,6
17,3,7,1,3
18,3,8,0,1
19,4,9,1,1
20,4,4,1,1
21,4,5,1,3
22,4,6,2,3
23,4,7,1,4
24,4,8,0,1
25,5,3,1,1
26,5,4,1,1
27,5,5,2,4
28,5,6,3,9
29,5,7,1,4
30,5,8,0,1
31,6,9,1,1
32,6,4,1,1
33,6,5,2,2
34,6,6,6,6
35,6,7,3,3
36,6,8,1,1
37,7,3,1,1
38,7,4,1,1
39,7,5,2,4
40,7,6,1,4
41,7,10,1,3
42,8,3,1,1
43,8,4,2,2
44,8,5,2,2
45,8,6,2,8
46,8,7,2,3
47,9,3,1,1
48,9,4,1,1
49,9,5,2,2
50,9,6,4,4
51,9,7,1,1
52,9,8,1,1
53,10,3,1,1
54,10,4,1,1
55,10,5,2,2
56,10,6,6,6
57,10,7,3,3
58,10,8,1,1
