id,brand_id,series_id,model,memory_type_id,timing,cas_latency,voltage,transfer_rate_mb,speed,modules,module_capacity_gb,total_capacity_gb,image_url
1,10,1,CMK16GX4M2D3600C18R,2,18-22-22-42,18,1.35,28800,3600,2,8,16,1
2,11,2,F4-3600C19D-16GVRB,2,19-20-20-40,19,1.35,28800,3600,2,8,16,2
3,10,3,CMW16GX4M2C3200C16W,2,16-18-18-36,16,1.35,25600,3200,2,8,16,3
4,11,4,F4-3200C16D-16GIS,2,16-18-18-38,16,1.35,25600,3200,2,8,16,4
5,11,2,F4-3200C16D-16GVRB,2,16-18-18-38,16,1.35,25600,3200,2,8,16,5
6,14,5,MD4U083016BCDA,2,16-18-18-36,16,1.35,24000,3000,2,8,16,6
7,15,6,PVS416G320C6,2,16-18-18-36,16,1.35,25600,3200,1,16,16,7
8,11,7,F4-3600C18D-16GTZRX,2,18-22-22-42,18,1.35,28800,3600,2,8,16,8
9,10,3,CMW16GX4M2C3200C16,2,16-18-18-36,16,1.35,25600,3200,2,8,16,9
10,10,3,CMW16GX4M2D3600C18,2,18-22-22-42,18,1.35,28800,3600,2,8,16,10
11,11,2,F4-3200C16S-16GVK,2,16-18-18-38,16,1.35,25600,3200,1,16,16,11
12,16,8,TDZAD432G3600HC18JDC01,2,18-22-22-42,18,1.35,28800,3600,2,16,32,12
13,17,9,GAOSR416GB3200C16ADC,2,16-18-18-36,16,1.35,25600,3200,2,8,16,13
14,11,10,F4-3600C16D-32GTZNC,2,16-19-19-39,16,1.35,28800,3600,2,16,32,14
15,10,1,CMK16GX4M2B3200C16R,2,16-18-18-36,16,1.35,25600,3200,2,8,16,15
16,16,11,TLZRD416G3000HC16CDC01,2,16-18-18-38,16,1.35,24000,3000,2,8,16,16
17,17,12,GAOG416GB3600C18BDC,2,18-22-22-42,18,1.35,28800,3600,2,8,16,17
18,15,13,PVE416G266C6KGY,2,16-17-17-36,16,1.2,21300,2666,2,8,16,18
19,15,14,PVR416G413C9K,2,19-21-21-41,19,1.4,33000,4133,2,8,16,19
20,11,15,F4-3600C16D-32GTZRC,2,16-19-19-39,16,1.35,28800,3600,2,16,32,20
21,10,1,CMK64GX4M2E3200C16,2,16-20-20-38,16,1.35,25600,3200,2,32,64,21
22,16,8,TDZAD416G4000HC18JDC01,2,18-22-22-42,18,1.35,32000,4000,2,8,16,22
23,17,12,GAOG416GB3200C16ADC,2,16-18-18-36,16,1.35,25600,3200,2,8,16,23
24,11,10,F4-3600C18D-32GTZN,2,18-22-22-42,18,1.35,28800,3600,2,16,32,24
25,10,1,CMK32GX4M2A2666C16,2,16-18-18-35,16,1.2,21300,2666,2,16,32,25
26,11,2,F4-3200C16D-16GVGB,2,16-18-18-38,16,1.35,25600,3200,2,8,16,26
27,11,2,F4-3600C18D-64GVK,2,18-22-22-42,18,1.35,28800,3600,2,32,64,27
28,16,11,TLZGD432G3600HC18JDC01,2,18-22-22-42,18,1.35,28800,3600,2,16,32,28
29,10,3,CMW32GX4M2D3600C18,2,18-22-22-42,18,1.35,28800,3600,2,16,32,29
30,10,1,CMK32GX4M2E3200C16,2,16-20-20-38,16,1.35,25600,3200,2,16,32,30
31,11,15,F4-3200C16D-32GTZR,2,16-18-18-38,16,1.35,25600,3200,2,16,32,31
